nInp,g,rGGin,rGinGb,Delay,N_AL,DNI,SNI,TH,N,MeanANC1,StdANC1,MeanANC2,StdANC2,MeanANC3,StdANC3,MeanANC4,StdANC4,MeanANC5,StdANC5,MeanANC6,StdANC6,MeanANC7,StdANC7,MeanA,StdA,SuccA,MeanASD1,StdASD1,SuccASD1,MeanASD2,StdASD2,SuccASD2,MeanASD3,StdASD3,SuccASD3,MeanASD4,StdASD4,SuccASD4,MeanASD5,StdASD5,SuccASD5,MeanASD6,StdASD6,SuccASD6,MaxOutSD1,StdMO1,MaxOutSD2,StdMO2,MaxOutSD3,StdMO3,MaxOutSD4,StdMO4,MaxOutSD5,StdMO5,MaxOutSD6,StdMO6,ReactTimesSD1,StdRT1,ReactTimesSD2,StdRT2,ReactTimesSD3,StdRT3,ReactTimesSD4,StdRT4,ReactTimesSD5,StdRT5,ReactTimesSD6,StdRT6,NeuroPercSD1,StdNP1,NeuroPercSD2,StdNP2,NeuroPercSD3,StdNP3,NeuroPercSD4,StdNP4,NeuroPercSD5,StdNP5,NeuroPercSD6,StdNP6,Wrs1,StdW1,Wrs2,StdW2,Wrs3,StdW3,Wrs4,StdW4,Wrs5,StdW5,Wrs6,StdW6,Wrs7,StdW7,WrsC1,StdWC1,WrsC2,StdWC2,WrsC3,StdWC3,WrsC4,StdWC4,WrsC5,StdWC5,WrsC6,StdWC6,WrsC7,StdWC7,PercError,StdPE,EVPC1,StdEV1,MBA,StdMBA,MBRt,StdMBRt,MBANC,StdMBANC,MBCorr,StdMBCorr,MBAll,StdMBAll,PercAnsw,StdPA
7,0.05,0.01,0,0.01,20,0,0,0.5,100,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1.0025,0.000379252,2.00572,0.00071948,3.00889,0.00113744,4.01185,0.00146611,5.0143,0.00177899,6.01467,0.00241967,0.216694,0.000678384,0.160166,0.000184135,0.140008,7.60272E-05,0.125953,0.000598652,0.117177,0.00061341,0.1102,0,0.152108,0.0110513,0.257977,0.0177451,0.379115,0.0236753,0.495556,0.0260343,0.638148,0.0290373,0.99576,0.00370211,1.04411E-09,2.08984E-25,7.59768E-10,2.08984E-25,7.59768E-10,2.08984E-25,7.59768E-10,2.08984E-25,7.59768E-10,2.08984E-25,7.59768E-10,2.08984E-25,1.04411E-09,2.08984E-25,7.95456E-207,0,2.47645E-210,0,2.47645E-210,0,1.20392E-210,0,2.47645E-210,0,2.47645E-210,0,7.95044E-207,0,0.0168486,0.00361699,23.2552,1.53386,0,0,1,0,0,0,1,0,0,0,1,0
7,0.05,0.01,0,0.01,20,0,0.05,0.5,100,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1.11977,0.00305323,2.10514,0.00456963,3.09187,0.00664092,4.07894,0.00873876,5.068,0.0125427,6.06166,0.0135368,0.219189,0.00107185,0.162115,0.00066936,0.139644,0.000521416,0.126217,0.000421076,0.116621,0.000586355,0.109125,0.000669868,0.152786,0.0111188,0.25808,0.0178427,0.378866,0.0236244,0.495338,0.0260106,0.636908,0.0288496,0.983232,0.0058972,1.04411E-09,2.08984E-25,7.59768E-10,2.08984E-25,7.59768E-10,2.08984E-25,7.59768E-10,2.08984E-25,7.59768E-10,2.08984E-25,7.59768E-10,2.08984E-25,1.04411E-09,2.08984E-25,7.95456E-207,0,2.47645E-210,0,2.47645E-210,0,1.20392E-210,0,2.47645E-210,0,2.47645E-210,0,7.95044E-207,0,0.0174297,0.00327579,23.2493,1.5337,0,0,1,0,0,0,1,0,0,0,1,0
7,0.05,0.01,0,0.01,20,0,0.1,0.5,100,0.999931,0.000481125,0.999792,0.0010097,0.999896,0.000721688,0.999687,0.00122312,0.999896,0.000721688,0.999896,0.000721688,0.999931,0.000481125,0.999924,0.000205207,1,0.999792,0.00081541,1,0.99975,0.000978492,1,1,0,1,1,0,1,1,0,1,1,0,1,1.205,0.00609402,2.14789,0.00875789,3.0924,0.0126495,4.03941,0.0160308,4.99482,0.0236422,5.96673,0.0250661,0.223679,0.00182911,0.164619,0.00119063,0.141592,0.000997515,0.128046,0.000882845,0.118181,0.00113506,0.110571,0.00132857,0.15477,0.0112557,0.258403,0.0179512,0.378128,0.0235435,0.494648,0.0259552,0.634145,0.0285768,0.967253,0.00789023,1.04411E-09,2.08984E-25,7.59768E-10,2.08984E-25,7.59768E-10,2.08984E-25,7.59768E-10,2.08984E-25,7.59768E-10,2.08984E-25,7.59768E-10,2.08984E-25,1.04411E-09,2.08984E-25,7.95456E-207,0,2.4785E-210,0,2.47645E-210,0,1.20392E-210,0,2.47645E-210,0,2.47645E-210,0,7.95044E-207,0,0.0199123,0.00316171,23.2324,1.53312,0,0,1,0,0,0,1,0,0,0,1,0
7,0.05,0.01,0,0.01,20,0,0.15,0.5,100,0.990972,0.00566847,0.991979,0.00533351,0.991354,0.00666362,0.990833,0.0055862,0.991563,0.00677576,0.992188,0.00573402,0.991528,0.00591342,0.991854,0.00328702,1,0.989792,0.00458212,1,0.990917,0.00551915,1,0.992292,0.0058308,1,0.992083,0.00761438,1,0.991458,0.00850271,1,0.994583,0.0114777,1,1.25158,0.00889111,2.13417,0.0121839,3.01785,0.0172699,3.9074,0.0212088,4.81436,0.0314818,5.75372,0.0333683,0.226421,0.00280096,0.166217,0.00231497,0.14311,0.00199534,0.129621,0.00144982,0.119367,0.0021668,0.112029,0.00228854,0.157909,0.0114531,0.258965,0.0180788,0.376931,0.0234311,0.493509,0.0258893,0.630451,0.028339,0.951118,0.00997633,1.04411E-09,2.08984E-25,7.59768E-10,2.08984E-25,7.59768E-10,2.08984E-25,7.59768E-10,2.08984E-25,7.59768E-10,2.08984E-25,7.59768E-10,2.08984E-25,1.04411E-09,2.08984E-25,7.95882E-207,0,6.73206E-210,0,2.55702E-210,0,1.28513E-210,0,2.4785E-210,0,6.54879E-210,0,7.95451E-207,0,0.0249653,0.00459532,23.2048,1.53212,0,0,0.979167,0.144338,0,0,1,0,0,0,1,0
7,0.05,0.01,0,0.01,20,0,0.2,0.5,100,0.967083,0.00978794,0.965937,0.0131948,0.961875,0.0129494,0.961771,0.0140852,0.964479,0.0165105,0.967188,0.0126283,0.969236,0.00982686,0.968167,0.00667612,1,0.961111,0.00913087,1,0.96525,0.0112278,1,0.965417,0.0128756,1,0.971389,0.0120643,1,0.971667,0.0157552,1,0.974167,0.0236853,0.979167,1.26312,0.0112616,2.07599,0.0145723,2.88874,0.0200933,3.71133,0.0238946,4.56157,0.0354684,5.46182,0.0382768,0.225801,0.00421193,0.165971,0.00341381,0.142554,0.00306393,0.129878,0.00254705,0.120042,0.00284072,0.112163,0.00331564,0.162003,0.011698,0.259761,0.0182027,0.375335,0.0232684,0.491959,0.025815,0.626054,0.0281393,0.935009,0.0119874,1.04453E-09,2.9211E-12,7.60189E-10,2.9211E-12,7.60046E-10,1.93201E-12,7.60604E-10,3.27437E-12,7.60604E-10,3.27437E-12,7.60468E-10,3.46775E-12,1.04453E-09,2.9211E-12,7.01734E-202,0,6.81221E-201,0,2.4066E-191,0,2.4066E-191,0,9.15662E-200,0,8.58802E-200,0,2.81136E-200,0,0.0325635,0.0072948,23.1671,1.53073,0,0,0.979167,0.144338,0.104167,0.308709,1,0,0,0,1,0
7,0.05,0.01,0,0.01,20,0,0.25,0.5,100,0.939097,0.0124102,0.934479,0.0208143,0.929063,0.020044,0.928542,0.0168838,0.932917,0.0202336,0.939583,0.0171611,0.940417,0.0149487,0.939676,0.00924731,1,0.925278,0.0149045,0.916667,0.935,0.0160319,1,0.938542,0.0183337,1,0.946944,0.0177696,1,0.941042,0.0219516,0.958333,0.95125,0.0294362,0.9375,1.2477,0.0130562,1.98824,0.0159614,2.72729,0.0213421,3.48011,0.0249022,4.27105,0.0364931,5.12945,0.0408024,0.226247,0.00688049,0.166183,0.00485592,0.143403,0.00391391,0.130493,0.00361041,0.120123,0.00406036,0.112617,0.00423759,0.166819,0.0119754,0.260771,0.0183153,0.37338,0.0230963,0.490022,0.025732,0.621103,0.0279677,0.919034,0.0138331,1.04613E-09,1.39901E-11,7.66792E-10,1.98872E-11,7.76706E-10,3.02384E-11,7.85114E-10,4.4605E-11,7.77559E-10,3.84564E-11,7.72239E-10,4.5597E-11,1.0522E-09,4.42158E-11,9.13213E-188,0,1.37408E-178,0,1.20428E-161,8.34349E-161,1.20428E-161,8.34349E-161,4.98186E-174,0,5.4799E-176,0,6.47796E-187,0,0.0420594,0.0104012,23.1201,1.52901,0,0,0.916667,0.27931,0.145833,0.356674,1,0,0,0,1,0
7,0.05,0.01,0,0.01,20,0,0.3,0.5,100,0.914375,0.0171236,0.909167,0.0237526,0.902708,0.0243852,0.897813,0.0221673,0.903958,0.0226668,0.911979,0.0227086,0.918681,0.0177151,0.916014,0.0112039,0.958333,0.894722,0.0189292,0.4375,0.908583,0.0187977,0.541667,0.914167,0.0199556,0.708333,0.924444,0.0222317,0.854167,0.918333,0.0247827,0.75,0.935833,0.0324748,0.8125,1.21417,0.0141268,1.88441,0.0166869,2.55188,0.0217288,3.23668,0.0254909,3.96942,0.0359898,4.7858,0.0424777,0.231681,0.008557,0.16886,0.00575031,0.145683,0.00455852,0.132456,0.00427761,0.122006,0.00509758,0.114829,0.00452285,0.172109,0.0122703,0.26199,0.0184113,0.371087,0.0229057,0.487723,0.0256407,0.615708,0.0278142,0.903284,0.0154981,1.0602E-09,8.18377E-11,8.25203E-10,1.21309E-10,9.57963E-10,3.69592E-10,1.02474E-09,4.01045E-10,9.2128E-10,2.53359E-10,8.18768E-10,1.24104E-10,1.06911E-09,9.78483E-11,2.18849E-172,0,1.68184E-155,1.15862E-154,1.13081E-129,7.83449E-129,1.13081E-129,7.83449E-129,1.65623E-142,1.14747E-141,5.98061E-150,4.14349E-149,7.21743E-175,0,0.052694,0.0135673,23.0647,1.52697,0.0208333,0.144338,0.875,0.334219,0.166667,0.376622,1,0,0,0,1,0
7,0.05,0.01,0,0.01,20,0,0.35,0.5,100,0.898125,0.0185134,0.891042,0.0300878,0.884687,0.0269042,0.881771,0.0249359,0.885312,0.0235744,0.896979,0.0249838,0.905069,0.0192653,0.901182,0.0132589,0.5625,0.874792,0.020362,0.0625,0.893167,0.0225665,0.375,0.898229,0.0240454,0.395833,0.909444,0.0264471,0.625,0.905208,0.0250097,0.541667,0.92625,0.0340603,0.6875,1.16996,0.0146806,1.77445,0.0171793,2.37516,0.0220592,2.99625,0.0266508,3.67395,0.0354018,4.4499,0.0444058,0.243051,0.0102373,0.175201,0.00699514,0.150168,0.00578048,0.136439,0.00513021,0.125323,0.00562215,0.118213,0.00498105,0.177666,0.01257,0.263374,0.0185195,0.368522,0.022708,0.485111,0.0255519,0.609961,0.0276722,0.887821,0.016986,1.09358E-09,2.07608E-10,1.06729E-09,5.36769E-10,1.76129E-09,1.62645E-09,2.40291E-09,2.24686E-09,1.83612E-09,1.72307E-09,9.23754E-10,2.40352E-10,1.09508E-09,1.7028E-10,1.05741E-158,6.97871E-158,1.62495E-133,7.61201E-133,5.07086E-101,3.51319E-100,5.07086E-101,3.51319E-100,7.91956E-113,3.91049E-112,1.04306E-125,7.22652E-125,1.10338E-164,0,0.0638614,0.0166347,23.0017,1.52468,0.0208333,0.144338,0.8125,0.394443,0.166667,0.376622,1,0,0,0,1,0
7,0.05,0.01,0,0.01,20,0,0.4,0.5,100,0.889861,0.0191912,0.881875,0.031801,0.875816,0.0264282,0.872483,0.0246809,0.875833,0.0236178,0.8875,0.0248185,0.898194,0.0186666,0.893207,0.0134968,0.3125,0.865684,0.0206018,0.0208333,0.88425,0.0214759,0.291667,0.889375,0.0252356,0.270833,0.902639,0.0249345,0.4375,0.898125,0.0271055,0.4375,0.919167,0.0357196,0.645833,1.12054,0.0149222,1.66498,0.0178453,2.20485,0.0227825,2.76771,0.0286561,3.39446,0.0355115,4.13231,0.0469872,0.260572,0.011983,0.18437,0.00754147,0.156704,0.00656366,0.14224,0.00562584,0.130421,0.00598836,0.122771,0.0050406,0.183318,0.0128598,0.264911,0.0185822,0.365743,0.0224792,0.482212,0.0254495,0.603939,0.0275371,0.872692,0.0183075,1.16717E-09,5.29858E-10,2.52801E-09,4.0365E-09,1.42823E-08,2.95411E-08,2.06218E-08,3.69301E-08,9.40892E-09,2.47545E-08,1.28669E-09,7.78154E-10,1.13618E-09,2.37952E-10,8.68578E-147,5.9464E-146,2.33266E-112,1.30745E-111,3.58574E-77,2.48428E-76,3.58595E-77,2.48427E-76,2.07438E-81,1.43717E-80,6.49866E-105,4.50241E-104,6.11422E-154,4.15202E-153,0.0751459,0.0195097,22.9324,1.52217,0.0208333,0.144338,0.791667,0.410414,0.229167,0.424744,1,0,0,0,0.99998,0.000137464
7,0.05,0.01,0,0.01,20,0,0.45,0.5,100,0.887083,0.018864,0.877187,0.0319226,0.870608,0.0254497,0.867569,0.0253316,0.871441,0.0235581,0.884375,0.0245735,0.895347,0.0203717,0.889578,0.0138586,0.208333,0.861647,0.0194549,0,0.881167,0.0225212,0.208333,0.886458,0.0242759,0.229167,0.899028,0.0239775,0.458333,0.892917,0.0285059,0.333333,0.91625,0.035408,0.5625,1.06959,0.015065,1.55982,0.0187861,2.04502,0.0239282,2.5554,0.0312881,3.13548,0.0364074,3.83781,0.0499455,0.284157,0.0134809,0.195813,0.00836875,0.165514,0.00707157,0.149272,0.00594199,0.136088,0.00637213,0.12765,0.00538026,0.188926,0.0131534,0.266576,0.0186663,0.362793,0.0222719,0.47906,0.0253253,0.597709,0.0274042,0.857931,0.0194757,1.29567E-09,1.14896E-09,8.65803E-09,1.80451E-08,1.3156E-07,3.1607E-07,2.16633E-07,3.89829E-07,9.5787E-08,2.45975E-07,2.39075E-09,2.41861E-09,1.20904E-09,4.03359E-10,4.27608E-137,2.92957E-136,5.80344E-93,3.99053E-92,1.24826E-58,8.64821E-58,3.65762E-56,2.52526E-55,3.64514E-56,2.52543E-55,1.42086E-87,9.84397E-87,2.35028E-144,1.52243E-143,0.0862851,0.0221382,22.8579,1.51949,0.0208333,0.144338,0.8125,0.394443,0.25,0.437595,1,0,0,0,0.99996,0.000192325
